---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    dx   : number of deaths
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,dx
1950,total,45-49,320*-359*,384
1951,total,45-49,320*-359*,348
1952,total,45-49,320*-359*,357
1953,total,45-49,320*-359*,357
1954,total,45-49,320*-359*,323
1955,total,45-49,320*-359*,349
1956,total,45-49,320*-359*,326
1957,total,45-49,320*-359*,294
1958,total,45-49,320*-359*,303
1959,total,45-49,320*-359*,333
1960,total,45-49,320*-359*,275
1961,total,45-49,320*-359*,260
1962,total,45-49,320*-359*,214
1963,total,45-49,320*-359*,230
1964,total,45-49,320*-359*,178
1965,total,45-49,320*-359*,190
1966,total,45-49,320*-359*,204
1967,total,45-49,320*-359*,267
1968,total,45-49,320*-359*,278
1969,total,45-49,320*-359*,295
1970,total,45-49,320*-359*,281
1971,total,45-49,320*-359*,255
1972,total,45-49,320*-359*,248
1973,total,45-49,320*-359*,240
1974,total,45-49,320*-359*,249
1975,total,45-49,320*-359*,270
1976,total,45-49,320*-359*,266
1977,total,45-49,320*-359*,237
1978,total,45-49,320*-359*,228
1979,total,45-49,320*-359*,269
1980,total,45-49,320*-359*,231
1981,total,45-49,320*-359*,256
1982,total,45-49,320*-359*,224
1983,total,45-49,320*-359*,224
1984,total,45-49,320*-359*,212
1985,total,45-49,320*-359*,221
1986,total,45-49,320*-359*,197
1987,total,45-49,320*-359*,176
1988,total,45-49,320*-359*,190
1989,total,45-49,320*-359*,187
1990,total,45-49,320*-359*,176
1991,total,45-49,320*-359*,211
1992,total,45-49,320*-359*,236
1993,total,45-49,320*-359*,218
1994,total,45-49,320*-359*,280
1995,total,45-49,320*-359*,287
1996,total,45-49,320*-359*,258
1997,total,45-49,320*-359*,307
1998,total,45-49,320*-359*,230
1999,total,45-49,320*-359*,272
1925,total,50-54,320*-359*,591
1926,total,50-54,320*-359*,628
1927,total,50-54,320*-359*,645
1928,total,50-54,320*-359*,648
1929,total,50-54,320*-359*,635
1930,total,50-54,320*-359*,722
1931,total,50-54,320*-359*,678
1932,total,50-54,320*-359*,636
1933,total,50-54,320*-359*,639
1934,total,50-54,320*-359*,589
1935,total,50-54,320*-359*,651
1936,total,50-54,320*-359*,591
1937,total,50-54,320*-359*,553
1938,total,50-54,320*-359*,579
1939,total,50-54,320*-359*,559
1940,total,50-54,320*-359*,742
1941,total,50-54,320*-359*,841
1942,total,50-54,320*-359*,704
1943,total,50-54,320*-359*,444
1944,total,50-54,320*-359*,454
1945,total,50-54,320*-359*,433
1946,total,50-54,320*-359*,387
1947,total,50-54,320*-359*,434
1948,total,50-54,320*-359*,413
1949,total,50-54,320*-359*,429
1950,total,50-54,320*-359*,435
1951,total,50-54,320*-359*,430
1952,total,50-54,320*-359*,467
1953,total,50-54,320*-359*,502
1954,total,50-54,320*-359*,457
1955,total,50-54,320*-359*,444
1956,total,50-54,320*-359*,437
1957,total,50-54,320*-359*,414
1958,total,50-54,320*-359*,478
1959,total,50-54,320*-359*,424
1960,total,50-54,320*-359*,430
1961,total,50-54,320*-359*,389
1962,total,50-54,320*-359*,420
1963,total,50-54,320*-359*,413
1964,total,50-54,320*-359*,423
1965,total,50-54,320*-359*,345
1966,total,50-54,320*-359*,315
1967,total,50-54,320*-359*,277
1968,total,50-54,320*-359*,264
1969,total,50-54,320*-359*,221
1970,total,50-54,320*-359*,256
1971,total,50-54,320*-359*,249
1972,total,50-54,320*-359*,283
1973,total,50-54,320*-359*,330
1974,total,50-54,320*-359*,341
1975,total,50-54,320*-359*,323
1976,total,50-54,320*-359*,335
1977,total,50-54,320*-359*,280
1978,total,50-54,320*-359*,328
1979,total,50-54,320*-359*,300
1980,total,50-54,320*-359*,389
1981,total,50-54,320*-359*,342
1982,total,50-54,320*-359*,357
1983,total,50-54,320*-359*,334
1984,total,50-54,320*-359*,328
1985,total,50-54,320*-359*,324
1986,total,50-54,320*-359*,331
1987,total,50-54,320*-359*,285
1988,total,50-54,320*-359*,267
1989,total,50-54,320*-359*,242
1990,total,50-54,320*-359*,263
1991,total,50-54,320*-359*,242
1992,total,50-54,320*-359*,236
1993,total,50-54,320*-359*,235
1994,total,50-54,320*-359*,257
1995,total,50-54,320*-359*,229
1996,total,50-54,320*-359*,240
1997,total,50-54,320*-359*,284
1998,total,50-54,320*-359*,313
1999,total,50-54,320*-359*,321
1925,total,55-59,320*-359*,719
1926,total,55-59,320*-359*,725
1927,total,55-59,320*-359*,776
1928,total,55-59,320*-359*,793
1929,total,55-59,320*-359*,814
1930,total,55-59,320*-359*,925
1931,total,55-59,320*-359*,888
1932,total,55-59,320*-359*,898
1933,total,55-59,320*-359*,860
1934,total,55-59,320*-359*,852
1935,total,55-59,320*-359*,836
1936,total,55-59,320*-359*,786
1937,total,55-59,320*-359*,765
1938,total,55-59,320*-359*,728
1939,total,55-59,320*-359*,685
1940,total,55-59,320*-359*,1005
1941,total,55-59,320*-359*,1061
1942,total,55-59,320*-359*,983
1943,total,55-59,320*-359*,659
1944,total,55-59,320*-359*,659
1945,total,55-59,320*-359*,616
1946,total,55-59,320*-359*,575
1947,total,55-59,320*-359*,562
1948,total,55-59,320*-359*,550
1949,total,55-59,320*-359*,595
1950,total,55-59,320*-359*,601
1951,total,55-59,320*-359*,586
1952,total,55-59,320*-359*,553
1953,total,55-59,320*-359*,613
1954,total,55-59,320*-359*,623
1955,total,55-59,320*-359*,614
1956,total,55-59,320*-359*,677
1957,total,55-59,320*-359*,679
1958,total,55-59,320*-359*,679
1959,total,55-59,320*-359*,706
1960,total,55-59,320*-359*,643
1961,total,55-59,320*-359*,628
1962,total,55-59,320*-359*,674
1963,total,55-59,320*-359*,647
1964,total,55-59,320*-359*,610
1965,total,55-59,320*-359*,617
1966,total,55-59,320*-359*,602
1967,total,55-59,320*-359*,604
1968,total,55-59,320*-359*,565
1969,total,55-59,320*-359*,605
1970,total,55-59,320*-359*,450
1971,total,55-59,320*-359*,446
1972,total,55-59,320*-359*,391
1973,total,55-59,320*-359*,325
1974,total,55-59,320*-359*,283
1975,total,55-59,320*-359*,308
1976,total,55-59,320*-359*,397
1977,total,55-59,320*-359*,389
1978,total,55-59,320*-359*,418
1979,total,55-59,320*-359*,472
1980,total,55-59,320*-359*,435
1981,total,55-59,320*-359*,476
1982,total,55-59,320*-359*,485
1983,total,55-59,320*-359*,471
1984,total,55-59,320*-359*,435
1985,total,55-59,320*-359*,414
1986,total,55-59,320*-359*,444
1987,total,55-59,320*-359*,382
1988,total,55-59,320*-359*,407
1989,total,55-59,320*-359*,463
1990,total,55-59,320*-359*,445
1991,total,55-59,320*-359*,353
1992,total,55-59,320*-359*,378
1993,total,55-59,320*-359*,358
1994,total,55-59,320*-359*,485
1995,total,55-59,320*-359*,355
1996,total,55-59,320*-359*,329
1997,total,55-59,320*-359*,280
1998,total,55-59,320*-359*,313
1999,total,55-59,320*-359*,282
1925,total,60-64,320*-359*,926
1926,total,60-64,320*-359*,942
1927,total,60-64,320*-359*,1028
1928,total,60-64,320*-359*,994
1929,total,60-64,320*-359*,1006
1930,total,60-64,320*-359*,1078
1931,total,60-64,320*-359*,1009
1932,total,60-64,320*-359*,1072
1933,total,60-64,320*-359*,1022
1934,total,60-64,320*-359*,1015
1935,total,60-64,320*-359*,1078
1936,total,60-64,320*-359*,1078
1937,total,60-64,320*-359*,1081
1938,total,60-64,320*-359*,1081
1939,total,60-64,320*-359*,972
1940,total,60-64,320*-359*,1275
1941,total,60-64,320*-359*,1347
1942,total,60-64,320*-359*,1268
1943,total,60-64,320*-359*,902
1944,total,60-64,320*-359*,915
1945,total,60-64,320*-359*,818
1946,total,60-64,320*-359*,773
1947,total,60-64,320*-359*,780
1948,total,60-64,320*-359*,781
1949,total,60-64,320*-359*,826
1950,total,60-64,320*-359*,840
1951,total,60-64,320*-359*,817
1952,total,60-64,320*-359*,883
1953,total,60-64,320*-359*,859
1954,total,60-64,320*-359*,867
1955,total,60-64,320*-359*,872
1956,total,60-64,320*-359*,889
1957,total,60-64,320*-359*,918
1958,total,60-64,320*-359*,911
1959,total,60-64,320*-359*,923
1960,total,60-64,320*-359*,919
1961,total,60-64,320*-359*,955
1962,total,60-64,320*-359*,996
1963,total,60-64,320*-359*,998
1964,total,60-64,320*-359*,979
1965,total,60-64,320*-359*,1016
1966,total,60-64,320*-359*,959
1967,total,60-64,320*-359*,941
1968,total,60-64,320*-359*,946
1969,total,60-64,320*-359*,958
1970,total,60-64,320*-359*,858
1971,total,60-64,320*-359*,778
1972,total,60-64,320*-359*,697
1973,total,60-64,320*-359*,696
1974,total,60-64,320*-359*,687
1975,total,60-64,320*-359*,634
1976,total,60-64,320*-359*,569
1977,total,60-64,320*-359*,510
1978,total,60-64,320*-359*,424
1979,total,60-64,320*-359*,373
1980,total,60-64,320*-359*,474
1981,total,60-64,320*-359*,568
1982,total,60-64,320*-359*,583
1983,total,60-64,320*-359*,633
1984,total,60-64,320*-359*,630
1985,total,60-64,320*-359*,578
1986,total,60-64,320*-359*,616
1987,total,60-64,320*-359*,579
1988,total,60-64,320*-359*,592
1989,total,60-64,320*-359*,676
1990,total,60-64,320*-359*,613
1991,total,60-64,320*-359*,542
1992,total,60-64,320*-359*,559
1993,total,60-64,320*-359*,700
1994,total,60-64,320*-359*,653
1995,total,60-64,320*-359*,549
1996,total,60-64,320*-359*,504
1997,total,60-64,320*-359*,517
1998,total,60-64,320*-359*,476
1999,total,60-64,320*-359*,479
1925,total,65-69,320*-359*,1195
1926,total,65-69,320*-359*,1228
1927,total,65-69,320*-359*,1315
1928,total,65-69,320*-359*,1347
1929,total,65-69,320*-359*,1391
1930,total,65-69,320*-359*,1483
1931,total,65-69,320*-359*,1441
1932,total,65-69,320*-359*,1455
1933,total,65-69,320*-359*,1401
1934,total,65-69,320*-359*,1346
1935,total,65-69,320*-359*,1368
1936,total,65-69,320*-359*,1258
1937,total,65-69,320*-359*,1294
1938,total,65-69,320*-359*,1359
1939,total,65-69,320*-359*,1251
1940,total,65-69,320*-359*,1783
1941,total,65-69,320*-359*,1933
1942,total,65-69,320*-359*,1796
1943,total,65-69,320*-359*,1327
1944,total,65-69,320*-359*,1296
1945,total,65-69,320*-359*,1199
1946,total,65-69,320*-359*,1116
1947,total,65-69,320*-359*,1147
1948,total,65-69,320*-359*,1127
1949,total,65-69,320*-359*,1272
1950,total,65-69,320*-359*,1302
1951,total,65-69,320*-359*,1241
1952,total,65-69,320*-359*,1306
1953,total,65-69,320*-359*,1327
1954,total,65-69,320*-359*,1294
1955,total,65-69,320*-359*,1303
1956,total,65-69,320*-359*,1340
1957,total,65-69,320*-359*,1293
1958,total,65-69,320*-359*,1259
1959,total,65-69,320*-359*,1267
1960,total,65-69,320*-359*,1242
1961,total,65-69,320*-359*,1233
1962,total,65-69,320*-359*,1315
1963,total,65-69,320*-359*,1412
1964,total,65-69,320*-359*,1377
1965,total,65-69,320*-359*,1524
1966,total,65-69,320*-359*,1428
1967,total,65-69,320*-359*,1564
1968,total,65-69,320*-359*,1392
1969,total,65-69,320*-359*,1471
1970,total,65-69,320*-359*,1358
1971,total,65-69,320*-359*,1285
1972,total,65-69,320*-359*,1157
1973,total,65-69,320*-359*,1141
1974,total,65-69,320*-359*,1105
1975,total,65-69,320*-359*,1095
1976,total,65-69,320*-359*,959
1977,total,65-69,320*-359*,1033
1978,total,65-69,320*-359*,1029
1979,total,65-69,320*-359*,923
1980,total,65-69,320*-359*,878
1981,total,65-69,320*-359*,912
1982,total,65-69,320*-359*,763
1983,total,65-69,320*-359*,704
1984,total,65-69,320*-359*,563
1985,total,65-69,320*-359*,611
1986,total,65-69,320*-359*,685
1987,total,65-69,320*-359*,729
1988,total,65-69,320*-359*,862
1989,total,65-69,320*-359*,1011
1990,total,65-69,320*-359*,989
1991,total,65-69,320*-359*,793
1992,total,65-69,320*-359*,905
1993,total,65-69,320*-359*,1038
1994,total,65-69,320*-359*,1244
1995,total,65-69,320*-359*,893
1996,total,65-69,320*-359*,903
1997,total,65-69,320*-359*,914
1998,total,65-69,320*-359*,955
1999,total,65-69,320*-359*,941
1925,total,70-74,320*-359*,1478
1926,total,70-74,320*-359*,1474
1927,total,70-74,320*-359*,1497
1928,total,70-74,320*-359*,1497
1929,total,70-74,320*-359*,1575
1930,total,70-74,320*-359*,1578
1931,total,70-74,320*-359*,1546
1932,total,70-74,320*-359*,1628
1933,total,70-74,320*-359*,1605
1934,total,70-74,320*-359*,1566
1935,total,70-74,320*-359*,1605
1936,total,70-74,320*-359*,1555
1937,total,70-74,320*-359*,1530
1938,total,70-74,320*-359*,1519
1939,total,70-74,320*-359*,1493
1940,total,70-74,320*-359*,2151
1941,total,70-74,320*-359*,2004
1942,total,70-74,320*-359*,1977
1943,total,70-74,320*-359*,1478
1944,total,70-74,320*-359*,1566
1945,total,70-74,320*-359*,1481
1946,total,70-74,320*-359*,1446
1947,total,70-74,320*-359*,1564
1948,total,70-74,320*-359*,1511
1949,total,70-74,320*-359*,1720
1950,total,70-74,320*-359*,1729
1951,total,70-74,320*-359*,1807
1952,total,70-74,320*-359*,1901
1953,total,70-74,320*-359*,1959
1954,total,70-74,320*-359*,1822
1955,total,70-74,320*-359*,1913
1956,total,70-74,320*-359*,1990
1957,total,70-74,320*-359*,1967
1958,total,70-74,320*-359*,1920
1959,total,70-74,320*-359*,1897
1960,total,70-74,320*-359*,1887
1961,total,70-74,320*-359*,1864
1962,total,70-74,320*-359*,1926
1963,total,70-74,320*-359*,1953
1964,total,70-74,320*-359*,1847
1965,total,70-74,320*-359*,1912
1966,total,70-74,320*-359*,1930
1967,total,70-74,320*-359*,2054
1968,total,70-74,320*-359*,2007
1969,total,70-74,320*-359*,2123
1970,total,70-74,320*-359*,2050
1971,total,70-74,320*-359*,1956
1972,total,70-74,320*-359*,1804
1973,total,70-74,320*-359*,1748
1974,total,70-74,320*-359*,1746
1975,total,70-74,320*-359*,1706
1976,total,70-74,320*-359*,1666
1977,total,70-74,320*-359*,1597
1978,total,70-74,320*-359*,1669
1979,total,70-74,320*-359*,1610
1980,total,70-74,320*-359*,1569
1981,total,70-74,320*-359*,1656
1982,total,70-74,320*-359*,1517
1983,total,70-74,320*-359*,1493
1984,total,70-74,320*-359*,1298
1985,total,70-74,320*-359*,1104
1986,total,70-74,320*-359*,1079
1987,total,70-74,320*-359*,967
1988,total,70-74,320*-359*,946
1989,total,70-74,320*-359*,1073
1990,total,70-74,320*-359*,1121
1991,total,70-74,320*-359*,1019
1992,total,70-74,320*-359*,1193
1993,total,70-74,320*-359*,1660
1994,total,70-74,320*-359*,1745
1995,total,70-74,320*-359*,1490
1996,total,70-74,320*-359*,1532
1997,total,70-74,320*-359*,1501
1998,total,70-74,320*-359*,1622
1999,total,70-74,320*-359*,1679
1925,total,75-79,320*-359*,1527
1926,total,75-79,320*-359*,1541
1927,total,75-79,320*-359*,1530
1928,total,75-79,320*-359*,1533
1929,total,75-79,320*-359*,1584
1930,total,75-79,320*-359*,1617
1931,total,75-79,320*-359*,1596
1932,total,75-79,320*-359*,1606
1933,total,75-79,320*-359*,1596
1934,total,75-79,320*-359*,1613
1935,total,75-79,320*-359*,1687
1936,total,75-79,320*-359*,1624
1937,total,75-79,320*-359*,1741
1938,total,75-79,320*-359*,1918
1939,total,75-79,320*-359*,1887
1940,total,75-79,320*-359*,2460
1941,total,75-79,320*-359*,2334
1942,total,75-79,320*-359*,2262
1943,total,75-79,320*-359*,1597
1944,total,75-79,320*-359*,1667
1945,total,75-79,320*-359*,1552
1946,total,75-79,320*-359*,1425
1947,total,75-79,320*-359*,1586
1948,total,75-79,320*-359*,1552
1949,total,75-79,320*-359*,1869
1950,total,75-79,320*-359*,1940
1951,total,75-79,320*-359*,2202
1952,total,75-79,320*-359*,2100
1953,total,75-79,320*-359*,2220
1954,total,75-79,320*-359*,2132
1955,total,75-79,320*-359*,2134
1956,total,75-79,320*-359*,2265
1957,total,75-79,320*-359*,2269
1958,total,75-79,320*-359*,2222
1959,total,75-79,320*-359*,2253
1960,total,75-79,320*-359*,2262
1961,total,75-79,320*-359*,2206
1962,total,75-79,320*-359*,2371
1963,total,75-79,320*-359*,2410
1964,total,75-79,320*-359*,2404
1965,total,75-79,320*-359*,2356
1966,total,75-79,320*-359*,2270
1967,total,75-79,320*-359*,2378
1968,total,75-79,320*-359*,2530
1969,total,75-79,320*-359*,2564
1970,total,75-79,320*-359*,2328
1971,total,75-79,320*-359*,2307
1972,total,75-79,320*-359*,2084
1973,total,75-79,320*-359*,2018
1974,total,75-79,320*-359*,2209
1975,total,75-79,320*-359*,2201
1976,total,75-79,320*-359*,2269
1977,total,75-79,320*-359*,2241
1978,total,75-79,320*-359*,2303
1979,total,75-79,320*-359*,2205
1980,total,75-79,320*-359*,2175
1981,total,75-79,320*-359*,2219
1982,total,75-79,320*-359*,2001
1983,total,75-79,320*-359*,2138
1984,total,75-79,320*-359*,1714
1985,total,75-79,320*-359*,1547
1986,total,75-79,320*-359*,1584
1987,total,75-79,320*-359*,1728
1988,total,75-79,320*-359*,1738
1989,total,75-79,320*-359*,2067
1990,total,75-79,320*-359*,1829
1991,total,75-79,320*-359*,1408
1992,total,75-79,320*-359*,1473
1993,total,75-79,320*-359*,1540
1994,total,75-79,320*-359*,1253
1995,total,75-79,320*-359*,1534
1996,total,75-79,320*-359*,1705
1997,total,75-79,320*-359*,2142
1998,total,75-79,320*-359*,2711
1999,total,75-79,320*-359*,3067
1925,total,80-84,320*-359*,1115
1926,total,80-84,320*-359*,1044
1927,total,80-84,320*-359*,951
1928,total,80-84,320*-359*,921
1929,total,80-84,320*-359*,997
1930,total,80-84,320*-359*,848
1931,total,80-84,320*-359*,875
1932,total,80-84,320*-359*,887
1933,total,80-84,320*-359*,904
1934,total,80-84,320*-359*,872
1935,total,80-84,320*-359*,912
1936,total,80-84,320*-359*,899
1937,total,80-84,320*-359*,978
1938,total,80-84,320*-359*,1142
1939,total,80-84,320*-359*,1248
1940,total,80-84,320*-359*,1499
1941,total,80-84,320*-359*,1393
1942,total,80-84,320*-359*,1365
1943,total,80-84,320*-359*,978
1944,total,80-84,320*-359*,1031
1945,total,80-84,320*-359*,937
1946,total,80-84,320*-359*,898
1947,total,80-84,320*-359*,981
1948,total,80-84,320*-359*,951
1949,total,80-84,320*-359*,1122
1950,total,80-84,320*-359*,1127
1951,total,80-84,320*-359*,1231
1952,total,80-84,320*-359*,1492
1953,total,80-84,320*-359*,1565
1954,total,80-84,320*-359*,1555
1955,total,80-84,320*-359*,1666
1956,total,80-84,320*-359*,1794
1957,total,80-84,320*-359*,1815
1958,total,80-84,320*-359*,1857
1959,total,80-84,320*-359*,1958
1960,total,80-84,320*-359*,1863
1961,total,80-84,320*-359*,1864
1962,total,80-84,320*-359*,2093
1963,total,80-84,320*-359*,2120
1964,total,80-84,320*-359*,2133
1965,total,80-84,320*-359*,2174
1966,total,80-84,320*-359*,2207
1967,total,80-84,320*-359*,2199
1968,total,80-84,320*-359*,2483
1969,total,80-84,320*-359*,2443
1970,total,80-84,320*-359*,2343
1971,total,80-84,320*-359*,2366
1972,total,80-84,320*-359*,2140
1973,total,80-84,320*-359*,2007
1974,total,80-84,320*-359*,2197
1975,total,80-84,320*-359*,2153
1976,total,80-84,320*-359*,2214
1977,total,80-84,320*-359*,2194
1978,total,80-84,320*-359*,2342
1979,total,80-84,320*-359*,2120
1980,total,80-84,320*-359*,1965
1981,total,80-84,320*-359*,1973
1982,total,80-84,320*-359*,1980
1983,total,80-84,320*-359*,2251
1984,total,80-84,320*-359*,1844
1985,total,80-84,320*-359*,1475
1986,total,80-84,320*-359*,1594
1987,total,80-84,320*-359*,1707
1988,total,80-84,320*-359*,1785
1989,total,80-84,320*-359*,2080
1990,total,80-84,320*-359*,2213
1991,total,80-84,320*-359*,1864
1992,total,80-84,320*-359*,2317
1993,total,80-84,320*-359*,2159
1994,total,80-84,320*-359*,2150
1995,total,80-84,320*-359*,2424
1996,total,80-84,320*-359*,2481
1997,total,80-84,320*-359*,2248
1998,total,80-84,320*-359*,2319
1999,total,80-84,320*-359*,2316
1925,total,85-89,320*-359*,516
1926,total,85-89,320*-359*,481
1927,total,85-89,320*-359*,416
1928,total,85-89,320*-359*,422
1929,total,85-89,320*-359*,461
1930,total,85-89,320*-359*,455
1931,total,85-89,320*-359*,480
1932,total,85-89,320*-359*,456
1933,total,85-89,320*-359*,473
1934,total,85-89,320*-359*,465
1935,total,85-89,320*-359*,514
1936,total,85-89,320*-359*,516
1937,total,85-89,320*-359*,586
1938,total,85-89,320*-359*,682
1939,total,85-89,320*-359*,746
1940,total,85-89,320*-359*,845
1941,total,85-89,320*-359*,751
1942,total,85-89,320*-359*,708
1943,total,85-89,320*-359*,500
1944,total,85-89,320*-359*,550
1945,total,85-89,320*-359*,513
1946,total,85-89,320*-359*,497
1947,total,85-89,320*-359*,560
1948,total,85-89,320*-359*,561
1949,total,85-89,320*-359*,669
1950,total,85-89,320*-359*,680
1951,total,85-89,320*-359*,779
1952,total,85-89,320*-359*,699
1953,total,85-89,320*-359*,707
1954,total,85-89,320*-359*,751
1955,total,85-89,320*-359*,768
1956,total,85-89,320*-359*,824
1957,total,85-89,320*-359*,875
1958,total,85-89,320*-359*,933
1959,total,85-89,320*-359*,953
1960,total,85-89,320*-359*,1015
1961,total,85-89,320*-359*,1078
1962,total,85-89,320*-359*,1210
1963,total,85-89,320*-359*,1278
1964,total,85-89,320*-359*,1260
1965,total,85-89,320*-359*,1280
1966,total,85-89,320*-359*,1341
1967,total,85-89,320*-359*,1400
1968,total,85-89,320*-359*,1569
1969,total,85-89,320*-359*,1654
1970,total,85-89,320*-359*,1672
1971,total,85-89,320*-359*,1659
1972,total,85-89,320*-359*,1591
1973,total,85-89,320*-359*,1536
1974,total,85-89,320*-359*,1647
1975,total,85-89,320*-359*,1539
1976,total,85-89,320*-359*,1774
1977,total,85-89,320*-359*,1558
1978,total,85-89,320*-359*,1662
1979,total,85-89,320*-359*,1405
1980,total,85-89,320*-359*,1270
1981,total,85-89,320*-359*,1211
1982,total,85-89,320*-359*,1238
1983,total,85-89,320*-359*,1404
1984,total,85-89,320*-359*,1170
1985,total,85-89,320*-359*,926
1986,total,85-89,320*-359*,945
1987,total,85-89,320*-359*,1148
1988,total,85-89,320*-359*,1434
1989,total,85-89,320*-359*,1372
1990,total,85-89,320*-359*,1593
1991,total,85-89,320*-359*,1773
1992,total,85-89,320*-359*,1775
1993,total,85-89,320*-359*,1581
1994,total,85-89,320*-359*,1710
1995,total,85-89,320*-359*,2232
1996,total,85-89,320*-359*,2394
1997,total,85-89,320*-359*,2613
1998,total,85-89,320*-359*,3216
1999,total,85-89,320*-359*,3666
1925,total,90-94,320*-359*,123
1926,total,90-94,320*-359*,104
1927,total,90-94,320*-359*,84
1928,total,90-94,320*-359*,88
1929,total,90-94,320*-359*,92
1930,total,90-94,320*-359*,118
1931,total,90-94,320*-359*,133
1932,total,90-94,320*-359*,132
1933,total,90-94,320*-359*,141
1934,total,90-94,320*-359*,133
1935,total,90-94,320*-359*,151
1936,total,90-94,320*-359*,147
1937,total,90-94,320*-359*,167
1938,total,90-94,320*-359*,200
1939,total,90-94,320*-359*,220
1940,total,90-94,320*-359*,271
1941,total,90-94,320*-359*,234
1942,total,90-94,320*-359*,224
1943,total,90-94,320*-359*,160
1944,total,90-94,320*-359*,167
1945,total,90-94,320*-359*,150
1946,total,90-94,320*-359*,142
1947,total,90-94,320*-359*,160
1948,total,90-94,320*-359*,160
1949,total,90-94,320*-359*,209
1950,total,90-94,320*-359*,222
1951,total,90-94,320*-359*,260
1952,total,90-94,320*-359*,164
1953,total,90-94,320*-359*,181
1954,total,90-94,320*-359*,189
1955,total,90-94,320*-359*,204
1956,total,90-94,320*-359*,223
1957,total,90-94,320*-359*,234
1958,total,90-94,320*-359*,239
1959,total,90-94,320*-359*,242
1960,total,90-94,320*-359*,253
1961,total,90-94,320*-359*,247
1962,total,90-94,320*-359*,332
1963,total,90-94,320*-359*,345
1964,total,90-94,320*-359*,354
1965,total,90-94,320*-359*,400
1966,total,90-94,320*-359*,419
1967,total,90-94,320*-359*,487
1968,total,90-94,320*-359*,549
1969,total,90-94,320*-359*,625
1970,total,90-94,320*-359*,591
1971,total,90-94,320*-359*,682
1972,total,90-94,320*-359*,638
1973,total,90-94,320*-359*,930
1974,total,90-94,320*-359*,676
1975,total,90-94,320*-359*,708
1976,total,90-94,320*-359*,805
1977,total,90-94,320*-359*,726
1978,total,90-94,320*-359*,675
1979,total,90-94,320*-359*,678
1980,total,90-94,320*-359*,548
1981,total,90-94,320*-359*,521
1982,total,90-94,320*-359*,497
1983,total,90-94,320*-359*,580
1984,total,90-94,320*-359*,467
1985,total,90-94,320*-359*,320
1986,total,90-94,320*-359*,314
1987,total,90-94,320*-359*,407
1988,total,90-94,320*-359*,657
1989,total,90-94,320*-359*,508
1990,total,90-94,320*-359*,615
1991,total,90-94,320*-359*,999
1992,total,90-94,320*-359*,712
1993,total,90-94,320*-359*,630
1994,total,90-94,320*-359*,773
1995,total,90-94,320*-359*,989
1996,total,90-94,320*-359*,1083
1997,total,90-94,320*-359*,1270
1998,total,90-94,320*-359*,1683
1999,total,90-94,320*-359*,1964
1925,total,95-99,320*-359*,13
1926,total,95-99,320*-359*,12
1927,total,95-99,320*-359*,12
1928,total,95-99,320*-359*,10
1929,total,95-99,320*-359*,11
1930,total,95-99,320*-359*,17
1931,total,95-99,320*-359*,19
1932,total,95-99,320*-359*,19
1933,total,95-99,320*-359*,20
1934,total,95-99,320*-359*,19
1935,total,95-99,320*-359*,21
1936,total,95-99,320*-359*,21
1937,total,95-99,320*-359*,26
1938,total,95-99,320*-359*,30
1939,total,95-99,320*-359*,34
1940,total,95-99,320*-359*,40
1941,total,95-99,320*-359*,31
1942,total,95-99,320*-359*,30
1943,total,95-99,320*-359*,22
1944,total,95-99,320*-359*,24
1945,total,95-99,320*-359*,21
1946,total,95-99,320*-359*,22
1947,total,95-99,320*-359*,25
1948,total,95-99,320*-359*,26
1949,total,95-99,320*-359*,34
1950,total,95-99,320*-359*,34
1951,total,95-99,320*-359*,39
1952,total,95-99,320*-359*,21
1953,total,95-99,320*-359*,18
1954,total,95-99,320*-359*,18
1955,total,95-99,320*-359*,26
1956,total,95-99,320*-359*,36
1957,total,95-99,320*-359*,32
1958,total,95-99,320*-359*,37
1959,total,95-99,320*-359*,31
1960,total,95-99,320*-359*,50
1961,total,95-99,320*-359*,53
1962,total,95-99,320*-359*,63
1963,total,95-99,320*-359*,59
1964,total,95-99,320*-359*,53
1965,total,95-99,320*-359*,68
1966,total,95-99,320*-359*,57
1967,total,95-99,320*-359*,69
1968,total,95-99,320*-359*,88
1969,total,95-99,320*-359*,99
1970,total,95-99,320*-359*,98
1971,total,95-99,320*-359*,133
1972,total,95-99,320*-359*,109
1973,total,95-99,320*-359*,448
1974,total,95-99,320*-359*,165
1975,total,95-99,320*-359*,152
1976,total,95-99,320*-359*,162
1977,total,95-99,320*-359*,138
1978,total,95-99,320*-359*,137
1979,total,95-99,320*-359*,143
1980,total,95-99,320*-359*,134
1981,total,95-99,320*-359*,127
1982,total,95-99,320*-359*,101
1983,total,95-99,320*-359*,177
1984,total,95-99,320*-359*,97
1985,total,95-99,320*-359*,64
